pmeId,Time,pmeProtocol1,pmeProtocol2,pmeTarget,pmeMessage,pmePrio,pmePrioLevel,pmeDienst,Message,pmeStraat,pmeHouseNumber,pmeHouseNumberAdd,pmeANRoad,pmeHectometerpaal,pmeZip,pmeRegionName,Latitude,Longitude,pmeHash,pmeGeoAccuracy,pme_strId,pme_wplId,pme_gemId,pme_proId,pme_vrgId,pmeCapCodes,pmeLifeLiner,pme_catId,wplNam,gemName,geometry
14842251,2018-12-31 00:26:53,FLEX-A,1600,AORG,P 1 Gebouwbrand woning (VK: 1) Ammunitiehaven SGRAVH 159591 157230 157830 157850,P 1,1,B,Gebouwbrand woning (VK: 1) 159591 157230 157830 157850,Ammunitiehaven,\N,\N,\N,\N,2511XH,Den Haag,52.0765779,4.3196884,a+8/Vl3sMte6X0A1nXvFZci+yjo=,S,199182,4896,391,12,5170,"1500050,1500140,1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3196884 52.0765779)
14842270,2018-12-31 00:35:44,FLEX-A,1600,AORG,P 1 Gebouwbrand woning (middelbrand) (VK: 1) Ammunitiehaven SGRAVH 159599 155481,P 1,1,B,Gebouwbrand woning (Gewenst: Versterking van één bluseenheid.) (VK: 1) 159599 155481,Ammunitiehaven,\N,\N,\N,\N,2511XH,Den Haag,52.0765779,4.3196884,H7iEIIVsF++HZeuYWSz/wZkPRcI=,S,199182,4896,391,12,5170,"1500021,1500046,1500052,1500071,1500075,1500156,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3196884 52.0765779)
14842303,2018-12-31 00:56:22,FLEX-A,1600,AORG,P 1 OMS Geverifieerd (VK: 3) (brandmelding OMS) Grand Hotel Amrath Kurhaus Gevers Deynootplein SGRAVH 157130,P 1,1,B,Melding Via Openbaar Meldsysteem Geverifieerd (VK: 3) (brandmelding Melding Via Openbaar Meldsysteem) Grand Hotel Amrath Kurhaus 157130,Gevers Deynootplein,\N,\N,\N,\N,2586CK,Den Haag,52.1129785,4.2821095,URd//S9vE1GONkVkO+BhHpomaww=,S,199899,4896,391,12,5170,"1500158,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2821095 52.1129785)
14842348,2018-12-31 01:31:31,FLEX-A,1600,AORG,P 1 Stank/Hinder. lucht (VK: 3) (gaslucht) Nieboerweg SGRAVH 157130,P 1,1,B,Stank/Hinder. lucht (VK: 3) (gaslucht) 157130,Nieboerweg,\N,\N,\N,\N,2566GA,Den Haag,52.083397399999996,4.2588615999999995,xYn+dvztccWXXEPRUuzlwpwYos4=,S,200812,4896,391,12,5170,"1500158,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.258861599999999 52.0833974)
14842393,2018-12-31 02:09:02,FLEX-A,1600,AORG,P 1 Voertuigbrand (VK: 1) Televisiestraat SGRAVH 157630,P 1,1,B,Voertuigbrand (VK: 1) 157630,Televisiestraat,\N,\N,\N,\N,2525KD,Den Haag,52.0575359,4.302881299999999,J06fvOw0zE7LirW4VBKf83R0XcQ=,S,201462,4896,391,12,5170,"1500148,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.302881299999999 52.0575359)
14842406,2018-12-31 02:17:21,FLEX-A,1600,AORG,P 2 Buitenbrand (VK: 2) Schimmelweg SGRAVH 155630,P 2,2,B,Buitenbrand (VK: 2) 155630,Schimmelweg,\N,\N,\N,\N,2524VT,Den Haag,52.0524161,4.316756900000001,/j0yTJkiYQPcCO0gnj7mevaNzYo=,S,201256,4896,391,12,5170,"1500161,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.316756900000001 52.0524161)
14842450,2018-12-31 02:43:01,FLEX-A,1600,AORG,"Prio 2 Toerit A13 Re - Rijswijk 7 6,0 SGRAVH Bijzondere verkeerszaken",PRIO 2,2,B,Toerit - 7 SGRAVH Bijzondere verkeerszaken,Rotterdamseweg,\N,\N,A13,6,\N,Den Haag,52.036258700000005,4.352475,3wFUG3cnMjSGyViG8ktdLORTX1E=,H,\N,4897,391,12,5170,1505791,\N,\N,Ypenburg,Den Haag,POINT (4.352475 52.0362587)
14842467,2018-12-31 02:54:49,FLEX-A,1600,AORG,P 1 Voertuigbrand (VK: 1) Nieboerweg SGRAVH 157130,P 1,1,B,Voertuigbrand (VK: 1) 157130,Nieboerweg,\N,\N,\N,\N,2566GA,Den Haag,52.083397399999996,4.2588615999999995,9vee1gShdURbTpEb5OQIKp1TElI=,S,200812,4896,391,12,5170,"1500158,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.258861599999999 52.0833974)
14842667,2018-12-31 06:41:12,FLEX-A,1600,AORG,P 1 Ass. ambu (VK: 2) (afhijsen patient) Franklinstraat SGRAVH 157830 157850,P 1,1,B,Assistentie ambu (VK: 2) (afhijsen patient) 157830 157850,Franklinstraat,\N,\N,\N,\N,2562CA,Den Haag,52.077034999999995,4.2860276,kifTuElX0A6aF8F1VO1CnQ/goes=,S,199849,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2860276 52.077035)
14842955,2018-12-31 08:45:42,FLEX-A,1600,AORG,P 1 Alarm rookmelder (VK: 1) Dienst Stadsbeheer Paviljoensgracht SGRAVH 157830,P 1,1,B,Alarm rookmelder (VK: 1) Dienst Stadsbeheer 157830,Paviljoensgracht,\N,\N,\N,\N,2512BL,Den Haag,52.074155299999994,4.3117582,LGsJtZOIeCx33q/Xwf16eV1xZAY=,S,200975,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3117582 52.07415529999999)
14843253,2018-12-31 09:57:29,FLEX-A,1600,AORG,P 2 Dienstverlening (VK: 15) Ernest Staasstraat SGRAVH 159661,P 2,2,B,Dienstverlening (VK: 15) 159661,Ernest Staasstraat,\N,\N,\N,\N,2523KJ,Den Haag,52.0530236,4.3197804,FjAOnGEsvMpoELSRs/ZLR/SqtPg=,S,199801,4896,391,12,5170,"1500198,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3197804 52.0530236)
14843412,2018-12-31 10:43:07,FLEX-A,1600,AORG,P 1 OMS Geverifieerd (VK: 2) (brandmelding OMS) Nationaal Toneel Schouwburgstraat SGRAVH 157230,P 1,1,B,Melding Via Openbaar Meldsysteem Geverifieerd (VK: 2) (brandmelding Melding Via Openbaar Meldsysteem) Nationaal Toneel 157230,Schouwburgstraat,\N,\N,\N,\N,2511VA,Den Haag,52.0815078,4.3163876,UaoBJH9+BfdfYYRM/f2KHPw3SOY=,S,201274,4896,391,12,5170,"1500140,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.3163876 52.0815078)
14843435,2018-12-31 10:49:15,FLEX-A,1600,AORG,P 1 Gebouwbrand bijeenkomst (VK: 2) (brandmelding OMS) Nationaal Toneel Schouwburgstraat SGRAVH 159591 157830 157850 159661,P 1,1,B,Gebouwbrand bijeenkomst (VK: 2) (brandmelding Melding Via Openbaar Meldsysteem) Nationaal Toneel 159591 157830 157850 159661,Schouwburgstraat,\N,\N,\N,\N,2511VA,Den Haag,52.0815078,4.3163876,ClKdi7qDjW326WqfXkt22oTw2+c=,S,201274,4896,391,12,5170,"1500050,1500142,1500198,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3163876 52.0815078)
14843476,2018-12-31 10:59:16,FLEX-A,1600,AORG,P 2 Buitenbrand (VK: 4) Toon Dupuisstraat SGRAVH 157730,P 2,2,B,Buitenbrand (VK: 4) 157730,Toon Dupuisstraat,\N,\N,\N,\N,2552SB,Den Haag,52.0554225,4.251312599999999,taN5JgGEHV0zsTGQKJvvy02HD8c=,S,201514,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.251312599999999 52.0554225)
14843514,2018-12-31 11:08:33,FLEX-A,1600,AORG,P 1 Brandgerucht (VK: 11) Springfonteinstraat SGRAVH 159661,P 1,1,B,Brandgerucht (VK: 11) 159661,Springfonteinstraat,\N,\N,\N,\N,2572PK,Den Haag,52.0631799,4.2942521,ej4D8Vc4MzmbPpJNSOaTLSJec74=,S,201375,4896,391,12,5170,"1500198,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2942521 52.0631799)
14843531,2018-12-31 11:10:18,FLEX-A,1600,AORG,P 1 Brandgerucht (VK: 11) Springfonteinstraat SGRAVH 157830,P 1,1,B,Brandgerucht (VK: 11) 157830,Springfonteinstraat,\N,\N,\N,\N,2572PK,Den Haag,52.0631799,4.2942521,vCmMTL/HYk92k98fzmFqpLsbOrM=,S,201375,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2942521 52.0631799)
14843730,2018-12-31 12:03:12,FLEX-A,1600,AORG,"Prio 2 A4 Li 48,1 SGRAVH Ongeval wegvervoer materieel",PRIO 2,2,B,SGRAVH Ongeval wegvervoer materieel,Rijksweg A4,\N,\N,A4,48.1,\N,Den Haag,52.04766420000001,4.3574353,yIbFTGcmtASIzDiWFPqI7+JZ0r4=,H,\N,4897,391,12,5170,1505791,\N,\N,Ypenburg,Den Haag,POINT (4.3574353 52.04766420000001)
14843780,2018-12-31 12:16:03,FLEX-A,1600,AORG,P 2 Brandgerucht (VK: 11) (keuken) Springfonteinstraat SGRAVH 159661,P 2,2,B,Brandgerucht (VK: 11) (keuken) 159661,Springfonteinstraat,\N,\N,\N,\N,2572PK,Den Haag,52.0631799,4.2942521,idhjr8VuWVhSLmI37WllQgMT/mg=,S,201375,4896,391,12,5170,"1500198,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2942521 52.0631799)
14843786,2018-12-31 12:16:27,FLEX-A,1600,AORG,P 2 Brandgerucht (VK: 11) (keuken) Springfonteinstraat SGRAVH 157830,P 2,2,B,Brandgerucht (VK: 11) (keuken) 157830,Springfonteinstraat,\N,\N,\N,\N,2572PK,Den Haag,52.0631799,4.2942521,v90IKGxwrDml7pbnQBF2XF8naRQ=,S,201375,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2942521 52.0631799)
14843805,2018-12-31 12:20:07,FLEX-A,1600,AORG,P 2 Liftopsluiting (VK: 12) Verpleegtehuis Mariahoeve Hofzichtlaan SGRAVH 155130,P 2,2,B,Liftopsluiting (VK: 12) Verpleegtehuis Mariahoeve 155130,Hofzichtlaan,\N,\N,\N,\N,2594CB,Den Haag,52.101109,4.3567172,L6lvZ3ak7PRaXWfdAzA09+jHA5c=,S,200111,4896,391,12,5170,"1500141,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3567172 52.101109)
14843814,2018-12-31 12:22:22,FLEX-A,1600,AORG,"P 1 Ass. ambu (afhijsen patient, first responder) (VK: 1) Leersumstraat SGRAVH 157730 157750",P 1,1,B,"Assistentie ambu (afhijsen patient, first responder) (VK: 1) 157730 157750",Leersumstraat,\N,\N,\N,\N,2546TE,Den Haag,52.0606317,4.2745095,oVcNy35ab0wLatCHwzeAPFoz+7s=,S,200535,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2745095 52.0606317)
14843832,2018-12-31 12:28:03,FLEX-A,1600,AORG,P 2 Buitenbrand afval/rommel Havenkade SGRAVH 159661,P 2,2,B,Buitenbrand afval/rommel 159661,Havenkade,\N,\N,\N,\N,2586TS,Den Haag,52.1081385,4.2777416,/BljD3+eqtZiBhIFxHVTEMm3e7c=,S,200027,4896,391,12,5170,"1500198,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.2777416 52.1081385)
14843907,2018-12-31 12:42:28,FLEX-A,1600,AORG,P 2 Gaarne contact MKB Groen van Prinstererlaan Mgr. Nolenslaan SGRAVH 159583,P 2,2,B,Gaarne contact Meldkamer Brandweer 159583,Groen van Prinstererlaan,\N,\N,\N,\N,2555HJ,Den Haag,52.0660751,4.2439468,PLDQHuX6rCCIsY4oX06yrQRWW/Q=,S,199957,4896,391,12,5170,"1500040,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.2439468 52.0660751)
14843988,2018-12-31 13:01:54,FLEX-A,1600,AORG,P 2 Buitenbrand container (VK: 2) (afvalcontainer) Kootwijkstraat SGRAVH 157830,P 2,2,B,Buitenbrand container (VK: 2) (afvalcontainer) 157830,Kootwijkstraat,\N,\N,\N,\N,2573XH,Den Haag,52.0672391,4.2829225,EF1RCL63KPvOY6+/RJs7Lkb2duU=,S,200425,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2829225 52.0672391)
14843995,2018-12-31 13:03:10,FLEX-A,1600,AORG,P 2 Buitenbrand afval/rommel (VK: 3) Maarsbergenstraat SGRAVH 157730,P 2,2,B,Buitenbrand afval/rommel (VK: 3) 157730,Maarsbergenstraat,\N,\N,\N,\N,2546SL,Den Haag,52.0605386,4.2729735,9d2dRZ98cLjgdORnAE2SCFhwNUk=,S,200619,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2729735 52.0605386)
14844056,2018-12-31 13:20:03,FLEX-A,1600,AORG,P 1 Stank/Hinder. lucht (gaslucht) (VK: 3) (aardgas) Helmersstraat SGRAVH 157230,P 1,1,B,Stank/Hinder. lucht (gaslucht) (VK: 3) (aardgas) 157230,Helmersstraat,\N,\N,\N,\N,2513RV,Den Haag,52.0777034,4.2957212,KDEcGduQloFZp9fwFq9FspfUaOQ=,S,200050,4896,391,12,5170,"1500140,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2957212 52.0777034)
14844089,2018-12-31 13:26:18,FLEX-A,1600,AORG,P 1 Autom. brand OMS Flokids Hendrik van Deventerstraat SGRAVH 157130,P 1,1,B,Automatisch. brand Melding Via Openbaar Meldsysteem Flokids 157130,Hendrik van Deventerstraat,\N,\N,\N,\N,2563XP,Den Haag,52.0722784,4.2732088,MG2hmV2yuQfwogvijEDVLQsSBYI=,S,200058,4896,391,12,5170,"1500158,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2732088 52.0722784)
14844093,2018-12-31 13:27:31,FLEX-A,1600,AORG,P 1 Stank/Hinder. lucht (gaslucht) Beeklaan SGRAVH 157630,P 1,1,B,Stank/Hinder. lucht (gaslucht) 157630,Beeklaan,\N,\N,\N,\N,2562AA,Den Haag,52.0711846,4.2839874,b9h3k4miAI9ep02G21zaoO2EFnI=,S,199307,4896,391,12,5170,"1500148,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2839874 52.0711846)
14844265,2018-12-31 14:10:24,FLEX-A,1600,AORG,P 2 Buitenbrand container (afvalcontainer) J.D. de Koklaan SGRAVH 157730,P 2,2,B,Buitenbrand container (afvalcontainer) 157730,J.D. de Koklaan,\N,\N,\N,\N,2552DG,Den Haag,52.0509356,4.2417812999999995,0SaR7YiHJKC+XGgpx/yxcAbr3sA=,S,200194,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2417813 52.0509356)
14844331,2018-12-31 14:21:28,FLEX-A,1600,AORG,P 1 Gebouwbrand bijeenkomst (VK: 2) Hofzichtlaan SGRAVH 159591 155130 155150 157230,P 1,1,B,Gebouwbrand bijeenkomst (VK: 2) 159591 155130 155150 157230,Hofzichtlaan,\N,\N,\N,\N,2594CB,Den Haag,52.101109,4.3567172,PanaLrIEr+Lqe9s+rODh0nJ2PCU=,S,200111,4896,391,12,5170,"1500050,1500140,1500141,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3567172 52.101109)
14844464,2018-12-31 14:51:08,FLEX-A,1600,AORG,P 2 Buitenbrand afval/rommel Stastokstraat SGRAVH 157630,P 2,2,B,Buitenbrand afval/rommel 157630,Stastokstraat,\N,\N,\N,\N,2524EM,Den Haag,52.05556,4.312593,NcqtALVtG1gFfDXTcqITEurBlrQ=,S,201393,4896,391,12,5170,"1500148,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.312593 52.05556)
14844492,2018-12-31 14:56:59,FLEX-A,1600,AORG,P 2 Buitenbrand afval/rommel Alberdingk Thijmstraat SGRAVH 155630,P 2,2,B,Buitenbrand afval/rommel 155630,Alberdingk Thijmstraat,\N,\N,\N,\N,2524HA,Den Haag,52.05526629999999,4.3120384000000005,LahoIRXA2uw1F1wLLwJ6lfgcVDA=,S,199150,4896,391,12,5170,"1500161,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3120384 52.05526629999999)
14844512,2018-12-31 15:01:22,FLEX-A,1600,AORG,P 1 Voertuigbrand Mr. J. Meermanerf Mr. J. Meermanstraat SGRAVH 159591 157730 157830,P 1,1,B,Voertuigbrand 159591 157730 157830,Mr. J. Meermanstraat,\N,\N,\N,\N,2552KP,Den Haag,52.0541497,4.2529666,1PMIdA6nf93i837XN3Q4JHmb+uQ=,S,200771,4896,391,12,5170,"1500050,1500142,1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2529666 52.0541497)
14844552,2018-12-31 15:08:20,FLEX-A,1600,AORG,P 2 Buitenbrand container (afvalcontainer) Beatrijsstraat Vier Heemskinderenstraat SGRAVH 157630,P 2,2,B,Buitenbrand container (afvalcontainer) 157630,Vier Heemskinderenstraat,\N,\N,\N,\N,2531CA,Den Haag,52.0562714,4.298620099999999,8I58VylprrCePFQkkhu6sXTxTTg=,S,201740,4896,391,12,5170,"1500148,1503902,2029570",\N,\N,Den Haag,Den Haag,POINT (4.298620099999999 52.0562714)
14844566,2018-12-31 15:13:35,FLEX-A,1600,AORG,P 1 Autom. brand OMS Spuimarkt Gedempte Gracht SGRAVH 157830,P 1,1,B,Automatisch. brand Melding Via Openbaar Meldsysteem Spuimarkt 157830,Gedempte Gracht,\N,\N,\N,\N,2512AK,Den Haag,52.0759071,4.3133365999999995,8xxROjCygcmLKS5N1NsW0x8TYDg=,S,199877,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3133366 52.0759071)
14844600,2018-12-31 15:19:42,FLEX-A,1600,AORG,"Prio 3 A4 Re 47,4 SGRAVH Wegverkeer verkeersstremming (Soort stremming: pechgeval)",PRIO 3,3,B,SGRAVH Wegverkeer verkeersstremming (Soort stremming: pechgeval),Rijksweg A4,\N,\N,A4,47.4,\N,Den Haag,52.0524852,4.364082099999999,U1qR/TM49Og3skfxPrRiDBswBtA=,H,\N,4897,391,12,5170,1505791,\N,\N,Ypenburg,Den Haag,POINT (4.364082099999999 52.0524852)
14844604,2018-12-31 15:20:33,FLEX-A,1600,AORG,P 1 Buitenbrand afval/rommel Wrightlaan Wethouder Fischerplantsoen SGRAVH 157430,P 1,1,B,Buitenbrand afval/rommel 157430,Wethouder Fischerplantsoen,\N,\N,\N,\N,2497DJ,Den Haag,52.039294899999994,4.3642362,FvNZ4zM5+cXCBo6N/g9ewFzGjcM=,S,201887,4896,391,12,5170,"1500149,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3642362 52.03929489999999)
14844693,2018-12-31 15:43:31,FLEX-A,1600,AORG,P 2 Buitenbrand container Vier Heemskinderenstraat SGRAVH 157630,P 2,2,B,Buitenbrand container 157630,Vier Heemskinderenstraat,\N,\N,\N,\N,2531CA,Den Haag,52.0562714,4.298620099999999,7aMNjCgawgn4dhwIN/cU5kRmKYI=,S,201740,4896,391,12,5170,"1500148,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.298620099999999 52.0562714)
14844736,2018-12-31 15:53:57,FLEX-A,1600,AORG,P 2 Buitenbrand container Swammerdamstraat SGRAVH 157630,P 2,2,B,Buitenbrand container 157630,Swammerdamstraat,\N,\N,\N,\N,2516GJ,Den Haag,52.0685822,4.3287055,RmXXJmNI/Kjw/0ZqwZEyZaL//90=,S,201442,4896,391,12,5170,"1500148,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3287055 52.0685822)
14844872,2018-12-31 16:26:35,FLEX-A,1600,AORG,P 2 Buitenbrand container (afvalcontainer) Zonnebloemstraat SGRAVH 157130,P 2,2,B,Buitenbrand container (afvalcontainer) 157130,Zonnebloemstraat,\N,\N,\N,\N,2565RN,Den Haag,52.0719495,4.2558093,60I2a9P+FetStConnPBfEZ2c9l8=,S,202006,4896,391,12,5170,"1500158,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2558093 52.0719495)
14844899,2018-12-31 16:31:26,FLEX-A,1600,AORG,P 1 Autom. brand OMS Middin Buitenklingen SGRAVH 157730,P 1,1,B,Automatisch. brand Melding Via Openbaar Meldsysteem Middin 157730,Buitenklingen,\N,\N,\N,\N,2554BT,Den Haag,52.0650229,4.223610099999999,qFIRd0xo9whCXNb3meQCySpNgA0=,S,199460,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.223610099999999 52.0650229)
14844972,2018-12-31 16:49:38,FLEX-A,1600,AORG,P 2 Buitenbrand afval/rommel Van Ostadestraat De Bockstraat SGRAVH 157830,P 2,2,B,Buitenbrand afval/rommel 157830,Van Ostadestraat,\N,\N,\N,\N,2526EN,Den Haag,52.068693100000004,4.311245099999999,x+tdLott8RRdNizWuWdZ1lJx94U=,S,201677,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.311245099999999 52.0686931)
14845020,2018-12-31 16:58:35,FLEX-A,1600,AORG,P 2 Buitenbrand container (afvalcontainer) BSO Paddington Norgstraat SGRAVH 157730,P 2,2,B,Buitenbrand container (afvalcontainer) BSO Paddington 157730,Norgstraat,\N,\N,\N,\N,2545TT,Den Haag,52.04689129999999,4.2700489,QApRDBp0WbNVpB5fHlV+/fn9UM0=,S,200859,4896,391,12,5170,"1500150,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.2700489 52.04689129999999)
14845097,2018-12-31 17:18:55,FLEX-A,1600,AORG,P 2 Buitenbrand Werkhovenstraat Leersumstraat SGRAVH 157730,P 2,2,B,Buitenbrand 157730,Werkhovenstraat,\N,\N,\N,\N,2546VA,Den Haag,52.059634499999994,4.2752266,cKnO8gmIpNMp4W2ui4uJxybQSlg=,S,201868,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2752266 52.05963449999999)
14845126,2018-12-31 17:23:26,FLEX-A,1600,AORG,P 2 Buitenbrand container Ernest Staasstraat SGRAVH 157630,P 2,2,B,Buitenbrand container 157630,Ernest Staasstraat,\N,\N,\N,\N,2523KJ,Den Haag,52.0530236,4.3197804,QwAjqcMYTDPTjYUllL3wvDIVte4=,S,199801,4896,391,12,5170,"1500148,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.3197804 52.0530236)
14845153,2018-12-31 17:32:18,FLEX-A,1600,AORG,P 1 Buitenbrand container Architect Brandeserf SGRAVH 157730,P 1,1,B,Buitenbrand container 157730,Architect Brandeserf,\N,\N,\N,\N,2552ZP,Den Haag,52.055735,4.2538806,gDheo2WaI9brCiD9urnSYN5gx6M=,S,199224,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2538806 52.055735)
14845157,2018-12-31 17:33:07,FLEX-A,1600,AORG,P 2 Buitenbrand afval/rommel Wrightlaan Wethouder Fischerplantsoen SGRAVH 155630,P 2,2,B,Buitenbrand afval/rommel 155630,Wethouder Fischerplantsoen,\N,\N,\N,\N,2497DJ,Den Haag,52.039294899999994,4.3642362,7FTrELFlQdsv5ZOlHr71FBjvBOM=,S,201887,4896,391,12,5170,"1500161,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3642362 52.03929489999999)
14845200,2018-12-31 17:42:12,FLEX-A,1600,AORG,P 1 Autom. brand OMS Winkelcentrum Hoge Veld Limastraat SGRAVH 157730,P 1,1,B,Automatisch. brand Melding Via Openbaar Meldsysteem Winkelcentrum Hoge Veld 157730,Limastraat,\N,\N,\N,\N,2548HC,Den Haag,52.0320301,4.2887486,oQJt44GOBnBcISjnAOrl/L4PR+w=,S,200561,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2887486 52.0320301)
14845272,2018-12-31 17:58:35,FLEX-A,1600,AORG,P 2 Buitenbrand container (afvalcontainer) Sara Burgerhartweg SGRAVH 157630,P 2,2,B,Buitenbrand container (afvalcontainer) 157630,Sara Burgerhartweg,\N,\N,\N,\N,2533JA,Den Haag,52.050526700000006,4.2901739999999995,Kjrrt/Qy7xN/G9YpjiguP9arXBQ=,S,201219,4896,391,12,5170,"1500148,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.290173999999999 52.05052670000001)
14845317,2018-12-31 18:06:10,FLEX-A,1600,AORG,P 2 Buitenbrand container (afvalcontainer) Dophei Wollegras SGRAVH 157430,P 2,2,B,Buitenbrand container (afvalcontainer) 157430,Wollegras,\N,\N,\N,\N,2498AT,Den Haag,52.0322798,4.3806457000000005,9arCs3pd1YF1GcHu8xTfnpStGMk=,S,201950,4896,391,12,5170,"1500149,1503902,2029570",\N,\N,Den Haag,Den Haag,POINT (4.380645700000001 52.0322798)
